carrier_name,carrier_number,shipment_number,shipment_date,delivery_date,delivery_reliability,feedback_reliability,non_conformance_count,transport_mode,shipment_weight_kg,cost_usd,status,region,origin_country,origin_postal_code,destination_country,destination_postal_code,distance_km,lead_time_days,co2_emission_kg,remarks,data_entry_source
USPS,CR-482-B,SHP261623,2024-06-03,2024-06-09,1,0,0,Road,577.43,2808.18,Delivered,Middle East,SA,424872,TR,8611,7139.54,6,742.07,Left at front desk,Portal
YRC Worldwide,CR-479-C,SHP433231,2023-08-06,2023-08-07,0,1,0,Air,4487.24,100834.08,Returned,North America,CA,69864,CN,937291,7367.38,1,19835.54,Documentation missing,Portal
Maersk,CR-861-B,SHP244419,2023-11-30,2023-12-07,1,1,0,Road,2235.18,8833.73,Returned,Europe,SE,1523,CA,57256,8098.84,7,3258.42,No issues,API
CEVA Logistics,CR-361-B,SHP245379,2023-09-02,2023-09-11,1,1,0,Sea,83768.89,15614.91,Delivered,Middle East,AE,511580,SE,2470,4655.85,9,5850.24,Partial delivery,Portal
Maersk Sealand,CR-820-C,SHP942544,2024-12-30,2025-01-01,1,0,0,Sea,62853.78,3473.27,Cancelled,Europe,ES,8957,DE,7418,1290.31,2,1216.51,Left at front desk,Portal
UPS,CR-376-A,SHP611892,2024-02-23,2024-02-26,0,1,0,Air,3171.59,3528.37,Delayed,Latin America,AR,5019,AR,620120,536.07,3,1020.12,SLA breach,Portal
Royal Mail,CR-769-B,SHP985889,2024-06-23,2024-06-25,0,0,1,Air,3961.4,N/A,Delivered,Middle East,SA,479996,SA,476062,795.78,2,1891.44,Partial delivery,Email
Nippon Express,CR-189-C,SHP876460,2024-09-15,2024-09-17,0,0,0,Air,3325.42,79099.52,In Transit,Latin America,PE,17474,PL,1353,7637.27,2,15238.27,Documentation missing,Manual
DB-Cargo,CR-453-B,SHP664763,2025-03-15,2025-03-16,0,1,0,Road,10539.93,3165.1,Delayed,Latin America,BR,40822,BR,86788,522.44,1,991.17,Documentation missing,Manual
SF Express,CR-754-B,SHP420609,2025-02-23,2025-03-01,0,1,0,road,11114.81,USD 34357.28,Returned,North America,CA,41758,AE,101533,6863.55,6,13731.68,Partial delivery,Manual
Royal Mail,CR-491-A,SHP608512,2024-04-03,2024-04-12,1,0,0,Road,3337.51,18492.13,Delayed,Africa,ZA,151489,EG,608581,10270.49,9,6170.02,No issues,Email
USPS,CR-236-B,SHP124680,2024-05-23,2024-05-27,1,0,0,Road,550.71,1049.9,In Transit,Latin America,AR,449184,DE,1869,3588.08,4,355.68,SLA breach,API
YRC Worldwide,849449,SHP218277,2024-03-17,2024-03-29,1,0,0,Sea,89484.74,26309.02,Delivered,Africa,EG,349777,NG,613041,7210.92,12,9679.01,Customs hold,Email
Maersk,CR-155-B,SHP134399,21-03-2023,2023-03-26,0,1,0,Rail,27813.88,11833.37,Delivered,Latin America,BR,11416,CO,980128,3922.06,5,3272.63,Left at front desk,EDI
ZIM,CR-838-C,SHP386499,2023-09-20,2023-10-07,0,1,0,Sea,93344.09,39227.18,Cancelled,Asia,IN,102161,KE,165319,11967.36,17,16756.24,Partial delivery,Manual
XPO Logistics,CR-160-B,SHP853002,2023-01-15,2023-01-26,0,0,1,Rail,34204.3,14162.75,Delayed,Middle East,AE,319049,NL,8631,10417.67,11,10689.87,No issues,Email
Kuehne + Nagel,CR-815-B,SHP514882,2023-09-01,2023-09-05,1,1,0,Road,2226.22,2508.45,Returned,Europe,DE,4295,FR,3228,1865.53,4,747.55,Left at front desk,Email
UPS,506966,SHP612489,2023-03-31,2023-04-05,0,1,0,Road,462.74,1501.91,Returned,Africa,EG,666645,KE,514453,3702.96,5,308.43,No issues,API
FedEx,CR-829-A,SHP746592,2023-04-21,2023-05-03,1,None,0,Road,1666.15,17658.85,Cancelled,Africa,ZA,478077,NG,743732,11911.32,12,3572.29,Partial delivery,API
Royal Mail,CR-538-C,SHP930353,2024-09-12,2024-09-14,1,0,0,Air,3145.51,USD 37987.02,Delayed,Africa,KE,647490,NG,611963,4706.85,2,8883.28,Documentation missing,Email
USPS,385989,SHP155085,2024-11-08,2024-11-11,0,1,0,Road,1707.85,825.31,Delivered,Europe,NL,1076,NL,7396,717.61,3,220.6,No issues,Email
XPO Logistics,CR-488-C,SHP248681,2025-05-09,2025-05-14,Yes,1,0,Road,20990.38,59904.08,In Transit,Latin America,BR,28139,AE,713877,6553.15,5,24759.55,Partial delivery,EDI
Kuehne + Nagel,CR-119-A,SHP478101,2023-03-05,2023-03-17,0,1,0,Rail,28240.74,32260.87,In Transit,Africa,KE,675997,TR,4522,10986.2,12,9307.76,Partial delivery,API
Maersk,CR-831-A,SHP899836,2023-05-04,2023-05-15,1,0,0,Road,1578.13,7043.36,In Transit,Middle East,AE,643135,CL,687902,11510.82,11,3269.8,No issues,Manual
SF Express,894911,SHP241420,2023-01-01,2023-01-03,0,1,0,Road,1640.53,918.23,Delivered,Middle East,TR,4885,TR,7527,583.04,2,172.17,Partial delivery,Portal
NipponExpress,CR-810-C,SHP536879,2025-02-11,2025-02-24,0,1,Yes,Sea,38245.75,9841.5,In Transit,Latin America,PE,642523,AR,944216,9846.87,13,5649.01,SLA breach,Manual
SF Express,CR-541-A,SHP704096,2023-11-25,2023-11-29,1,1,0,Road,3713.41,3564.46,Delayed,Asia,KR,107523,JP,776135,1243.33,4,831.06,Partial delivery,Manual
YRC Worldwide,CR-481-B,SHP115016,2024-12-25,2024-12-29,0,0,0,Rail,18265.62,3378.48,Delivered,North America,US,32603,CA,60570,1305.58,4,715.42,Partial delivery,Email
UPS,CR-559-C,SHP339786,2023-03-07,2023-03-08,Yes,1,0,Rail,18977.07,2578.6,Delivered,Asia,CN,956169,SG,743650,961.22,1,547.24,Left at front desk,Email
Nippon Express,CR-510-C,SHP121882,2024-06-21,2024-06-23,1,0,0,Air,4322.29,65908.89,In Transit,Latin America,CL,575942,BR,88272,10514.55,2,27268.15,Customs hold,Manual
Rhenus,CR-528-B,SHP100054,2023-06-15,2023-06-16,0,0,0,Rail,35729.18,2332.84,Delayed,Latin America,BR,20036,BR,81148,704.14,1,754.75,SLA breach,Email
XPO Logistics,CR-119-C,SHP544551,2023-11-30,2023-12-08,0,1,0,Road,1903.92 kg,12654.17,Returned,Middle East,AE,658238,KE,625692,6887.37,8,2360.34,SLA breach,Portal
Royal Mail,CR-371-B,SHP858066,2024-05-21,2024-05-28,0,1,1,Sea,59725.14,4169.25,Returned,Asia,JP,745661,TR,2019,3090.02,7,2768.28,Left at front desk,Email
DB Cargo,CR-652-B,SHP409701,2023-12-12,2023-12-15,0,1,2,Rail,16592.85,3117.36,Cancelled,North America,MX,20813,CA,39458,1585.62,3,789.3,No issues,Portal
DB Schenker,270747,SHP633857,2024-05-26,2024-05-29,1,1,0,Road,2920.84,2027.68,In Transit,North America,CA,35326,US,24089,988.15,3,519.52,SLA breach,API
YRC Worldwide,CR-722-B,SHP178404,2024-02-04,2024-02-07,1,0,0,Air,2644.39,30164.45,Delayed,North America,MX,91259,NG,790221,3765.81,3,5974.97,SLA breach,Portal
Zim,CR-495-B,SHP820400,2023-08-28,2023-08-30,0,1,0,Sea,,1463.43,In Transit,Europe,IT,2752,ES,4182,1069.38,2,875.63,Partial delivery,Portal
Royal Mail,CR-616-C,SHP409476,2025-08-08,2025-08-12,1,1,0,sea,93379.25,4452.46,Returned,North America,CA,62133,US,45095,904.22,4,1266.53,Customs hold,API
YRC Worldwide,CR-614-A,SHP646825,2025-10-09,2025-10-22,1,1,0,Sea,75820.13,35292.33,Delayed,Latin America,AR,750341,CL,728172,10207.25,13,11608.73,Customs hold,Manual
DB Cargo,CR-811-A,SHP142297,2025-05-02,2025-05-03,1,0,0,Air,4883.32,98523.54,Delivered,Latin America,PE,824552,AR,206221,9902.64,1,29014.63,Customs hold,Email
Rhenus,CR-739-A,SHP276644,2023-01-14,2023-01-16,1,1,0,Air,4803.05,115858.1,In Transit,North America,US,80340,SA,823908,11279.29,2,32505.0,Customs hold,EDI
db schenker,CR-917-C,SHP305384,2023-12-07,2023-12-10,1,0,0,Air,2303.59,42019.09,Returned,Europe,SE,7322,KR,175461,7227.68,3,9989.76,Customs hold,Manual
Rhenus,CR-212-B,522982,2023-12-11,2023-12-22,1,1,0,Rail,24933.17,18179.44,In Transit,Asia,KR,230131,PL,5684,7861.29,11,5880.21,Customs hold,Manual
ZIM,CR-240-C,SHP683500,2025-05-05,2025-05-17,0,0,0,Road,24494.68,57485.86,Returned,Middle East,SA,512885,DE,7282,11987.43,12,52853.09,No issues,Manual
Hapag-Lloyd,330819,511398,2024-12-09,2024-12-19,0,1,Yes,Rail,11896.6,14677.29,Delivered,Africa,ZA,178533,FR,2846,8500.79,10,3033.91,SLA breach,EDI
DB Schenker,181610,456105,2023-04-15,2023-04-25,1,0,0,Sea,51179.39,7077.09,Delivered,Europe,NL,6238,CL,921078,7535.74,10,5785.12,SLA breach,Portal
UPS,CR-576-B,SHP733025,2024-08-19,2024-08-24,1,0,0,Road,907.53,2773.46,Delayed,Middle East,SA,102709,IL,606653,4661.26,5,761.44,No issues,Portal
TNT Express,CR-213-C,SHP605418,2024-12-29,2025-01-02,1,1,0,air,2401.45,28387.78,Cancelled,Latin America,PE,149572,DE,3611,7175.49,4,10338.93,Partial delivery,Portal
Maersk,CR-470-A,SHP826869,2025-04-16,2025-04-17,0,1,0,Air,3506.12,8724.9,Delayed,North America,US,59112,CA,60024,949.26,1,1996.93,Left at front desk,Manual
YRC Worldwide,CR-381-C,SHP816933,2023-01-15,2023-01-17,1,0,0,Air,2009.1,9931.11,Cancelled,Asia,JP,529346,KR,279368,1588.23,2,1914.54,Partial delivery,API
Maersk,CR-554-B,SHP203893,2023-03-15,2023-03-17,1,0,0,Sea,96955.84,1677.98,Delayed,Middle East,SA,246031,SA,523763,568.7,2,827.08,Left at front desk,Email
R. Mail,CR-962-A,SHP524503,2025-01-21,2025-01-23,0,1,0,Air,3653.23,8886.16,In Transit,Asia,JP,943946,CN,633050,1649.67,2,3615.97,SLA breach,API
HapagLloyd,CR-273-C,SHP728509,2023-02-23,2023-03-02,1,1,0,Rail,26662.12,12185.8,In Transit,Middle East,SA,627514,IL,904405,5954.08,7,4762.45,Documentation missing,API
CEVA Logistics,CR-775-C,SHP961252,2024-01-05,2024-01-08,0,1,0,Road,21685.82,8592.88,Delivered,Asia,CN,722281,SG,529780,1638.78,3,6396.89,Customs hold,EDI
USPS,CR-624-B,SHP997600,2025-07-30,2025-08-03,1,0,0,Rail,30819.02,3647.89,Cancelled,Asia,CN,718194,IN,350649,1490.45,4,1378.03,Left at front desk,Portal
RoyalMail,408354,SHP217071,2023-11-30,2023-12-03,0,0,3,Air,4657.5,USD 14161.1,In Transit,Europe,ES,5137,FR,2469,1185.29,3,3312.28,No issues,Portal
Evergreen Marine,CR-374-B,SHP919440,2024-04-12,2024-04-14,1,1,2,Sea,34018.12,658.08,Delivered,Latin America,PE,338540,PE,509499,298.76,2,152.45,Customs hold,Manual
ZIM,CR-111-B,SHP265466,2023-12-28,2024-01-08,1,1,0,Rail,37283.73,20342.51,Returned,Latin America,PE,774333,AR,88539,11343.91,11,12688.3,Partial delivery,EDI
FedEx,CR-867-B,SHP135385,2025-10-13,2025-10-19,1,1,0,Road,280.44,1482.69,Delivered,Africa,NG,132932,IL,114474,5770.82,6,291.3,SLA breach,Portal
COSCO,CR-669-C,SHP955520,2024-08-31,2024-09-02,1,0,0,Rail,24509.76,2602.31,Delivered,Asia,KR,851853,SG,662013,1026.47,2,754.76,Documentation missing,API
CEVA Logistics,CR-359-A,SHP286921,2024-12-07,2024-12-11,1,0,1,Rail,20572.63,1252.69,Returned,Asia,SG,218216,KR,841063,1118.9,4,690.56,Customs hold,Manual
TNT,172617,SHP617180,2025-02-26,2025-03-02,0,1,0,Air,3302.64,72160.65,Returned,Middle East,AE,512761,JP,801550,11828.55,4,23439.26,SLA breach,Email
YRC Worldwide,652392,SHP258648,2024-12-15,2024-12-26,1,1,0,Sea,34846.58,13454.66,Delayed,Middle East,TR,4537,AE,144387,8506.23,11,4446.2,No issues,Manual
XPO Logistics,CR-539-A,SHP335435,2024-03-29,2024-04-01,0,0,0,Road,3950.01,5661.6,Returned,Asia,JP,851860,IN,707403,1619.79,3,1151.67,Customs hold,Manual
DHL,CR-101-A,SHP777086,2025-08-05,2025-08-15,1,1,0,Road,21690.47,127787.09,Delivered,Latin America,PE,511910,AE,662239,11713.85,10,45734.19,Documentation missing,EDI
DB Cargo,CR-579-C,SHP315515,2025-07-12,2025-07-23,0,1,0,Rail,14568.94,16835.22,Cancelled,Middle East,SA,220793,IL,787149,10271.7,11,4489.43,Documentation missing,Portal
U.P.S,,,,,1,0,0,Sea,25425 g,,Cancelled,Africa,NG,253034,NG,623323,326.88,1,124.67,Customs hold,Email
XPO Logistics,CR-466-B,SHP537686,2025-03-12,2025-03-15,1,1,0,Air,1469.74,19118.24,Cancelled,Africa,ZA,955749,AR,981059,7348.34,3,6480.07,Left at front desk,Manual
DHL,CR-493-C,SHP551709,2024-02-16,2024-02-19,0,1,3,Air,2885.18,58955.68,Returned,Latin America,AR,885949,SA,503166,9566.1,3,16559.96,Partial delivery,Portal
Maersk,988400,SHP428720,2023-12-16,2023-12-18,1,0,0,Air,793.1,2398.59,Returned,North America,CA,79475,MX,12174,1075.39,2,511.74,Left at front desk,API
TNT Express,CR-463-A,SHP788631,2023-03-05,2023-03-09,0,1,2,Air,3024.71,71422.2,Delayed,Africa,NG,294942,KE,157849,10445.15,4,18956.1,SLA breach,API
COSCO,826683,SHP986857,2024-04-30,2024-05-01,1,1,0,Air,3445.61,75596.46,In Transit,Latin America,CL,330612,DE,8016,10514.73,1,21737.81,No issues,API
COSCO,CR-831-A,SHP544158,2024-06-20,2024-06-24,1,0,2,Sea,86155.13,5539.6,In Transit,Europe,BE,6707,DE,4011,1420.95,4,1836.33,SLA breach,EDI
Nippon Express,CR-323-A,SHP327606,2024-03-27,2024-04-03,1,1,0,Road,2445.86,7348.37,In Transit,Africa,KE,980451,EG,745759,7338.12,7,3230.64,Partial delivery,Portal
DB Cargo,CR-309-A,SHP516169,2023-11-07,2023-11-15,0,0,0,Sea,26820.24,2747.37,Delayed,Africa,NG,465970,EG,480082,4355.48,8,1752.23,SLA breach,Portal
SF Express,CR-372-A,SHP403367,2024-08-05,2024-08-11,0,1,0,Road,14166.98,36252.97,Cancelled,Middle East,SA,422459,AE,901359,3762.46,6,9594.48,SLA breach,Email
CEVA Logistics,CR-190-B,SHP485917,2025-05-08,2025-05-10,0,0,0,Rail,11177.93,553.61,Delayed,Africa,KE,341125,KE,640392,354.32,2,118.82,No issues,API
DB Cargo,CR-697-A,SHP823386,2024-04-27,2024-05-02,0,0,0,Sea,43661.58,2718.23,Cancelled,Europe,ES,1854,DE,7535,1622.99,5,1062.94,SLA breach,Portal
DHL,287935,SHP725629,2024-01-17,2024-01-20,1,1,0,Road,529.67,USD 557.73,Delivered,Asia,KR,573485,IN,208446,1502.1,3,143.21,Documentation missing,Manual
CEVA Logistics,CR-191-A,SHP701885,2025-04-27,2025-05-04,1,1,0,Road,2477.42,5318.51,Cancelled,Africa,NG,944013,KE,527372,5830.13,7,2599.86,No issues,Portal
UPS,CR-921-C,SHP657371,2024-05-13,2024-05-16,0,1,1,Sea,30773.03,459.43,Returned,Africa,ZA,807127,ZA,899852,95.92,3,44.28,Customs hold,EDI
Evergreen Marine,CR-864-C,SHP678304,2025-06-13,2025-06-19,0,0,2,Rail,36613.34,11473.47,Delayed,Middle East,SA,772645,TR,7163,6218.34,6,6830.22,Left at front desk,EDI
Royal Mail,842051,SHP809481,2023-04-10,2023-04-14,0,0,0,Road,1824.81,4176.73,In Transit,Asia,KR,606015,PL,7289,3914.35,4,1285.73,Left at front desk,EDI
Hapag-Lloyd,658268,SHP144781,2025-09-07,2025-09-20,1,0,0,Sea,64710.1,17991.3,Cancelled,Asia,KR,761291,EG,666722,10183.78,13,9884.9,No issues,EDI
COSCO,CR-391-A,SHP700600,2024-12-30,2025-01-02,1,0,0,Sea,28952.42,1532.05,Cancelled,Asia,IN,853889,SG,668266,1626.83,3,706.51,Documentation missing,Portal
Hapag Lloyd,CR-671-A,SHP775239,2023-08-21,2023-08-22,No,1,0,Road,1430.26,710.69,Delivered,Europe,SE,8850,DE,9522,860.58,1,221.55,Partial delivery,API
YRC Worldwide,CR-368-B,SHP122353,2025-01-15,2025-01-26,1,0,0,Road,17910.24,84743.8,Cancelled,Asia,KR,240773,AE,913106,11972.31,11,38596.83,SLA breach,Email
Rhenus,104035,SHP148667,2023-12-11,2023-12-14,1,0,0,Road,532.49,132.05,Delayed,Latin America,CO,849940,CO,189177,170.66,3,16.36,Customs hold,Manual
XPO Logistics,CR-214-B,SHP626397,2025-02-11,2025-03-01,0,1,0,Sea,88781.04,49479.61,Delivered,Africa,KE,772580,CA,38980,11891.46,18,15836.04,No issues,API
DB Cargo,CR-710-B,SHP828299,2025-01-21,2025-02-01,1,1,0,Sea,30770.74,3424.43,Returned,Asia,CN,620678,SA,963495,5939.75,11,2741.56,Left at front desk,EDI
Nippon Express,CR-234-A,SHP773354,2024-07-18,2024-07-23,1,0,0,Rail,8367.07,5191.85,Cancelled,Latin America,PE,627255,ES,1196,5148.15,5,1292.25,No issues,Portal
XPO Logistics,CR-397-C,SHP977841,2023-05-31,2023-06-09,1,0,0,rail,17278.2,18789.2,Delivered,Africa,ZA,938249,EG,821319,7019.27,9,3638.41,Left at front desk,Email
Kuehne & Nagel,CR-352-C,SHP660294,2023-04-02,2023-04-11,1,0,0,Road,2699.89,8159.64,In Transit,Europe,SE,8314,US,60015,10128.17,9,4922.1,Left at front desk,Email
DB Cargo,811774,SHP197329,2023-02-22,2023-03-01,Yes,0,0,Rail,32662.78,19960.88,Returned,Middle East,IL,802128,IN,545097,7166.32,7,7022.16,No issues,Manual
D.H.L,CR-111-A,SHP518326,2024-01-21,2024-01-23,1,1,0,Rail,8101.79,305.07,Returned,Asia,SG,814009,SG,649012,153.96,2,37.42,Left at front desk,Manual
ZIM,CR-581-B,SHP225654,2024-08-25,2024-09-02,1,1,0,Road,,28550.43,In Transit,Africa,ZA,259033,EG,885668,10161.37,8,6147.66,Partial delivery,EDI
USPS,CR-754-A,SHP896364,2023-06-22,2023-06-28,1,1,0,Road,15565.49,28671.56,Returned,Middle East,SA,945482,IL,725169,4915.7,6,13772.74,SLA breach,Email
Nippon Express,CR-911-B,SHP501578,2025-03-22,2025-04-01,0,0,0,Rail,8490.1,12606.44,Returned,Africa,ZA,138552,KE,165755,7347.39,10,1871.4,No issues,Email
DHL,CR-934-A,SHP225640,2025-10-27,2025-10-28,0,0,0,Air,1185.58,5103.28,In Transit,North America,US,49831,MX,47067,1244.77,1,885.46,No issues,Manual
Rhenus,CR-648-A,SHP860704,2024-09-22,2024-09-25,1,Provided,0,Sea,74163.8,659.77,Delivered,Africa,ZA,248563,ZA,469054,151.0,3,167.98,Left at front desk,API
COSCO,342604,SHP511552,2025-08-04,2025-08-12,0,0,0,Rail,24137.92,9627.78,Delayed,North America,CA,65868,IN,233074,7983.57,8,5781.2,Customs hold,Manual
SF Express,CR-534-A,SHP665860,2025-05-29,2025-06-02,0,1,0,Sea,95218.76,7050.36,Delivered,Europe,PL,8569,IT,4891,1469.7,4,2099.14,Left at front desk,Email
TNT,CR-280-A,SHP606115,2024-07-10,2024-07-25,1,0,0,Sea,61721.86,31362.84,Delivered,Africa,EG,662049,US,61086,10961.44,15,10148.4,Customs hold,EDI
U.S.P.S,206759,SHP903607,2024-12-19,2024-12-29,0,1,3,Road,745.71,7398.94,Delayed,Asia,JP,353041,AE,622783,10749.76,10,1442.91,SLA breach,EDI
COSCO,CR-505-C,SHP282184,2024-08-30,2024-09-09,1,0,0,Road,976.46,7429.19,Returned,Africa,KE,931699,TR,5494,9661.95,10,1698.2,Documentation missing,Portal
Kuehne + Nagel,CR-214-C,SHP240681,2023-03-20,2023-03-28,0,Provided,0,Sea,78695.7,10658.79,Returned,Latin America,BR,83072,KE,873309,5376.8,8,6346.96,Left at front desk,Manual
FedEx,CR-272-C,SHP633942,2025-05-12,2025-05-14,0,0,0,Air,1520.03,14807.35,Cancelled,Europe,IT,7509,US,15855,5384.08,2,4910.37,SLA breach,Email
Kuehne + Nagel,CR-324-B,SHP153261,2023-02-16,2023-02-25,1,0,0,Rail,14953.76,18251.75,Delivered,North America,CA,33681,IN,425178,7932.3,9,3558.53,Left at front desk,EDI
CEVA,CR-999-A,SHP507548,2024-06-23,2024-07-08,0,0,2,Sea,64419.54,13579.85,Cancelled,Middle East,SA,812034,AE,780703,11723.23,15,11328.08,Documentation missing,Email
UPS,CR-763-B,SHP961750,2024-09-22,09/27/2024,0,0,0,Sea,96380.51,5215.6,Delayed,Asia,SG,205148,CN,625783,1544.14,5,2232.38,Documentation missing,EDI
Rhenus Intl,CR-221-B,SHP370530,2023-07-23,2023-07-27,0,0,0,Road,631.85,1763.08,Delayed,Latin America,PE,792498,BR,54670,3468.78,4,394.51,SLA breach,API
R. Mail,CR-122-C,SHP833118,2023-01-05,2023-01-07,0,0,0,Air,4941.93,16378.5,Cancelled,Europe,ES,9942,TR,3928,1364.69,2,4046.53,Left at front desk,API
DB Cargo,CR-993-B,SHP422232,2025-09-26,2025-09-29,1,Provided,1,Sea,71481.38,2396.64,Returned,North America,US,69250,MX,12208,886.06,3,950.06,No issues,API
COSCO,727678,SHP376743,2024-03-18,2024-03-24,1,0,0,Sea,74160.37,12722.67,Delivered,Latin America,CO,678253,CA,93650,4163.06,6,4631.01,Documentation missing,EDI
Royal Mail,CR-929-B,SHP828242,2024-09-10,09/12/2024,1,0,0,Road,13163.9,3039.56,Delayed,Europe,ES,2190,TR,6729,867.91,2,2056.51,Customs hold,Manual
DHL,214362,SHP674414,2025-10-22,2025-10-24,0,0,0,Rail,16254.78,2889.27,Cancelled,Europe,SE,1463,BE,5584,1290.63,2,629.37,Partial delivery,EDI
Rhenus Intl,122010,SHP887116,2025-04-25,2025-04-28,0,1,3,Air,2669.67,78843.48,Delivered,Africa,KE,651833,EG,862561,8987.79,3,14396.64,No issues,API
FedEx,CR-474-B,SHP956291,2024-12-03,2024-12-07,1,1,0,Sea,79355.9,3349.95,In Transit,Middle East,TR,8392,TR,7099,782.02,4,930.87,Customs hold,API
Hapag-Lloyd,CR-117-C,SHP251410,2024-09-25,2024-09-28,0,0,3,Sea,51738.37,1795.55,In Transit,North America,US,15252,CA,25431,925.43,3,718.2,SLA breach,API
Maersk,CR-665-C,471066,2024-05-26,2024-06-04,1,0,0,Sea,70030.24,18183.76,Returned,Europe,BE,7508,EG,919351,6957.42,9,7308.44,Partial delivery,API
FedeEx,CR-614-B,SHP604153,2025-03-10,2025-03-14,0,1,0,Road,19272.37,57973.82,Delivered,Asia,CN,403625,PE,174466,5655.46,4,19618.95,Documentation missing,Portal
Evergreen Marine,CR-462-B,SHP211985,2025-05-15,2025-05-24,0,1,0,Road,2768.91,27711.29,Cancelled,Europe,BE,3592,CN,184396,10780.31,9,5372.94,Customs hold,Email
HapagLloyd,CR-730-A,SHP127610,2025-07-13,2025-07-15,0,0,0,Rail,34026.25,2613.35,Cancelled,Asia,CN,318909,SG,594767,992.0,2,1012.62,Left at front desk,Manual
Rhenus,CR-522-A,SHP854156,2023-08-06,2023-08-11,1,0,0,Rail,13658.42,10975.27,Delivered,North America,MX,42796,BE,4811,4893.73,5,2005.22,Documentation missing,EDI
XPO Logistics,CR-899-C,SHP995754,2023-06-12,2023-06-18,1,0,3,Road,813.96,4160.01,In Transit,Europe,BE,5053,CL,128567,5897.84,6,864.11,Documentation missing,Manual
Nippon Express,CR-652-B,SHP385897,2024-04-14,2024-04-18,0,0,0,Rail,23615.82,2084.15,Returned,North America,CA,18626,US,80080,1490.62,4,1056.06,Customs hold,EDI
Nippon Express,CR-126-B,SHP103424,2024-06-11,2024-06-14,0,1,3,Air,873.95,8793.33,In Transit,Latin America,PE,268853,ES,3170,6050.37,3,3172.63,Left at front desk,Portal
Rhenus,CR-507-C,SHP308467,2024-09-26,2024-09-27,0,0,0,Road,2242.19,269.12,Cancelled,Middle East,IL,433388,IL,611712,115.87,1,46.76,Documentation missing,Email
YRC Worldwide,345258,SHP127567,2025-02-28,03/04/2025,1,1,3,Sea,89002.19,1654.99,Delivered,North America,MX,16179,MX,56162,473.34,4,631.92,Customs hold,EDI
ZIM,CR-393-B,947233,2024-03-15,2024-03-16,1,0,0,Road,16705.99,933.82,Delayed,Africa,NG,174577,NG,720400,150.37,1,452.17,SLA breach,Email
DB-Cargo,CR-948-A,SHP633034,10-04-2023,2023-04-24,0,1,2,Sea,,23152.37,Delayed,Latin America,AR,476257,US,68697,11290.63,14,10944.42,Left at front desk,Portal
Evergreen,CR-544-B,SHP241659,2024-08-02,2024-08-13,0,0,0,Sea,86106.44,30520.2,Cancelled,North America,US,33121,CN,157930,8236.52,11,10638.27,Documentation missing,API
COSCO,CR-679-A,SHP666085,2023-08-25,2023-09-02,1,1,0,Road,1543.97,N/A,Delivered,Africa,EG,581691,ZA,901851,7497.76,8,2083.74,No issues,Manual
NipponExpress,CR-286-B,SHP483697,2025-08-20,2025-08-25,1,1,0,Road,22115.74,22884.55,Cancelled,Europe,FR,1901,IT,4470,1981.79,5,7889.17,Partial delivery,Manual
TNT,CR-793-C,SHP122384,2024-07-21,2024-07-27,0,0,0,Rail,11761.45,USD 4606.11,Delayed,Middle East,IL,321305,SA,636723,5069.57,6,1788.76,SLA breach,Email
DB Schenker,CR-486-B,SHP402115,2025-06-09,2025-06-12,1,1,0,Road,1164.67,333.6,In Transit,Latin America,CO,129517,CO,241664,360.04,3,75.48,SLA breach,Email
db schenker,CR-216-B,SHP256483,2024-07-26,2024-08-09,1,0,0,Sea,81393.36,$13931.09,Returned,Latin America,AR,262233,CO,489968,8798.33,14,10741.89,Left at front desk,EDI
SF Express,CR-245-B,SHP168176,2025-09-29,2025-09-30,1,1,0,Road,13184.72,5754.6,Returned,North America,CA,21503,US,20286,1648.16,1,3911.49,No issues,Manual
Rhenus,CR-571-A,SHP914036,2024-08-10,2024-08-12,0,0,0,Sea,99462.54,1958.37,Delayed,Latin America,CL,468950,CL,139061,331.14,2,494.04,Partial delivery,EDI
YRC Worldwide,CR-918-A,SHP992860,2025-06-01,2025-06-02,0,1,0,Road,14639.75,6968.0,Returned,Asia,SG,719207,KR,399069,1202.27,1,3168.17,Left at front desk,API
Rhenus,CR-933-A,SHP319703,2024-09-10,2024-09-12,0,1,0,Air,4509.93,79955.39,Cancelled,Africa,EG,832964,ZA,423066,8275.44,2,22393.0,Left at front desk,Manual
Evergreen Marine,CR-661-A,SHP192476,2023-10-30,2023-11-09,0,1,0,Road,3063.41,14669.59,In Transit,Latin America,BR,69054,CL,946052,10596.72,10,5843.17,Customs hold,EDI
Royal Mail,CR-574-A,SHP227771,2023-06-27,2023-07-08,0,0,0,Rail,34084.15,11941.98,In Transit,Africa,KE,269497,EG,202749,8436.73,11,8626.76,Partial delivery,Portal
DB-Cargo,CR-394-A,SHP338798,24-10-2025,2025-11-04,1,1,0,Rail,17762.58,18581.24,Cancelled,Latin America,CL,19782,AR,617640,9030.18,11,4811.98,Customs hold,Portal
COSCO,596633,SHP182060,2025-09-02,2025-09-15,0,0,0,Sea,57317.46,USD 25609.01,Cancelled,Latin America,BR,50626,CA,73985,9811.23,13,8435.32,Left at front desk,EDI
Nippon Express,CR-912-B,SHP927719,2025-06-19,2025-06-20,1,1,0,Air,2772.78,6422.73,Delivered,North America,MX,24608,US,62210,1417.05,1,2357.5,SLA breach,Email
